neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,days_before_latest_review,reviews_per_month,calculated_host_listings_count,availability_365
8,1.30287,103.9005,3,250,4,0,1887.0,0.0,1,0
5,1.29499,103.83852,3,219,2,154,31.0,1.3837912309017721,48,266
5,1.29783,103.83936,3,137,1,179,15.0,1.3532545070416904,48,288
10,1.28318,103.84335,1,31,1,137,43.0,1.1786549963416462,13,359
10,1.28458,103.84298,1,31,1,80,290.0,0.8329091229351039,13,46
15,1.28955,103.83861,3,206,2,18,1011.0,0.25464221837358075,1,0
1,1.3319,103.76533,3,150,2,41,14.0,0.5247285289349821,1,25
3,1.31122,103.84108,3,179,7,0,1887.0,0.0,1,0
10,1.28496,103.84318,1,31,1,192,60.0,1.410986973710262,13,46
10,1.28439,103.84308,1,31,1,177,16.0,1.3506671834767394,13,46
10,1.2852,103.84216,2,60,90,1,91.0,0.27763173659827955,112,361
4,1.31492,103.88801,3,89,4,40,40.0,0.506817602368452,67,134
10,1.28262,103.84487,1,31,1,18,324.0,0.26236426446749106,13,365
10,1.28354,103.84331,2,140,2,48,9.0,0.5988365010887039,13,168
4,1.3155,103.88596,3,85,30,59,63.0,0.6729444732424258,67,86
5,1.29533,103.83797,3,150,2,220,30.0,1.5390154481375546,48,260
4,1.31379,103.88577,3,93,1,25,65.0,0.35065687161316933,67,84
6,1.30376,103.85923,2,58,1,20,563.0,0.36464311358790924,7,233
6,1.30171,103.85959,2,90,1,6,759.0,0.09531017980432493,7,233
5,1.29597,103.8382,3,137,1,63,207.0,0.7080357930536961,48,337
1,1.32986,103.81297,2,150,90,26,283.0,0.4252677354043441,3,90
11,1.32045,103.82116,3,237,3,61,15.0,0.6981347220709843,3,36
4,1.31586,103.88559,3,90,1,78,50.0,0.8241754429663495,67,10
4,1.31565,103.88576,3,94,1,61,14.0,0.6931471805599453,67,77
4,1.3125,103.89761,3,199,28,75,65.0,0.8109302162163288,1,163
2,1.29002,103.82315,2,65,1,5,1332.0,0.08617769624105241,1,0
4,1.31462,103.89173,2,69,14,0,1887.0,0.0,1,0
16,1.30459,103.82464,2,122,1,1,224.0,0.12221763272424911,2,361
6,1.30176,103.85217,3,244,2,77,18.0,1.1631508098056809,3,74
6,1.30148,103.85813,2,58,1,28,366.0,0.3852624007906449,7,233
12,1.31944,103.86222,3,387,7,47,24.0,0.5766133643039938,203,262
4,1.31464,103.88672,3,83,1,73,27.0,0.797507195884188,67,141
4,1.3137,103.88765,3,90,10,40,19.0,0.5187937934151676,67,4
6,1.30348,103.85969,2,58,1,10,621.0,0.1823215567939546,7,233
4,1.31633,103.88539,3,90,4,49,17.0,0.6043159668533296,67,64
12,1.31288,103.85969,2,62,1,21,2.0,0.506817602368452,20,358
12,1.31157,103.8598,2,56,1,189,11.0,1.891604804197771,20,343
13,1.32772,103.85239,3,358,7,32,203.0,0.43178241642553783,203,275
10,1.28223,103.83867,2,50,180,0,1887.0,0.0,1,365
1,1.31995,103.79426,3,160,5,8,584.0,0.1823215567939546,1,69
